[Nom enseignant];[Nom salle];[Promo];[Matiere];[Date debut];[Heure debut];[Duree];[Ecole];[Site campus];[Numero cours]
GARCIA ELENA;CD-1.11 N - Co-DF (M) (32);<Ing2 NVX> Ing2 Nouveaux;Droit des affaires;02/03/2026;10:45:00;2;ECE BACHELOR;Coeur defense;1060.04
MOREAU EMILIE;CD-1.11 N - Co-DF (M) (32);<MAST2> Master 2 IA;Informatique PREPA;02/03/2026;14:00:00;1;ECE PREPA;Coeur defense;1061.02
MOKHBER ARASH;CD-1.11 N - Co-DF (M) (32);<PREPA1> Prepa 1ere annee Gr01;Finance d'entreprise;02/03/2026;15:15:00;2;ECE BACHELOR;Coeur defense;1058.01
ROUSSEAU LISA;CD-1.11 N - Co-DF (M) (32);<MAST1> Master 1 DataScience;Architecture logicielle;02/03/2026;18:30:00;2;ECE MASTER;Coeur defense;1059.02
GARCIA ELENA;CD-3.10 N - Co-DF (M) (44) (Clevertouch);<CLASSES> Ing2 Gr04;Comptabilite analytique;02/03/2026;08:30:00;2;ECE BACHELOR;Coeur defense;1099.04
LEFEBVRE JULIE;CD-3.10 N - Co-DF (M) (44) (Clevertouch);<MAST1> Master 1 Cybersec;Gestion de projet;02/03/2026;14:00:00;1;ECE BACHELOR;Coeur defense;1100.03
BERNARD CLAIRE;CD-3.14 N  - Co-DF (M) (36) (Clevertouch);<CLASSES> Ing3 Gr02;Reseaux et telecoms;02/03/2026;08:30:00;2;ECE INGENIEUR;Coeur defense;1065.01
DUBOIS LUCAS;CD-3.14 N  - Co-DF (M) (36) (Clevertouch);<BACH1> Bachelor 1 Gr02;Intelligence artificielle;02/03/2026;13:00:00;2;ECE MASTER;Coeur defense;1067.01
DUPONT JEAN;CD-3.14 N  - Co-DF (M) (36) (Clevertouch);<BACH2> Bachelor 2 Gr01;Anglais PREPA;02/03/2026;17:30:00;2;ECE PREPA;Coeur defense;1066.05
LECLERC PAUL;CD-3.14 N  - Co-DF (M) (36) (Clevertouch);<Ing2 NVX> Ing2 Nouveaux;Finance d'entreprise;02/03/2026;18:30:00;1;ECE BACHELOR;Coeur defense;1064.03
LEFEBVRE JULIE;CD-4.01 N - Co-DF (M) (36) (Clevertouch);<CLASSES> Ing2 Gr02;Data Science;02/03/2026;08:30:00;2;ECE MASTER;Coeur defense;1062.04
MARTIN SOPHIE;CD-5.16 N - Co-DF (M) (46) (Clevertouch);<CLASSES> Ing2 Gr02;Anglais PREPA;02/03/2026;08:30:00;1;ECE PREPA;Coeur defense;1023.02
BERNARD CLAIRE;CD-5.16 N - Co-DF (M) (46) (Clevertouch);<MAST2> Master 2 IA;Reseaux et telecoms;02/03/2026;13:00:00;2;ECE INGENIEUR;Coeur defense;1022.05
